2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   7,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 954.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   6,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 953.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   5,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 952.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   4,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   3,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 950.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   3,6; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 949.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   3,7; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 948.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   3,8; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 947.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   3,9; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 946.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,10; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,11; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,12; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 943.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,13; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 942.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,14; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 941.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,15; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 940.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,16; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 939.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,17; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 938.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,18; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 937.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  3,19; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 936.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  2,19; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 935.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  1,19; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 934.0; Tile: ROAD
